1	0.63866	SUPERFIELD
1:1	0.285242	MOLECULAR & CELL BIOLOGY
1:1:1	0.02103	NATURE	NATURE
1:1:2	0.02004	SCIENCE	SCIENCE
1:1:3	0.019049	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.018253	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.0069601	CELL	CELL
1:1:6	0.0036352	NAT GENET	NATURE GENETICS
1:1:7	0.0035515	GENE DEV	GENES & DEVELOPMENT
1:1:8	0.0029928	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:9	0.0026765	NAT MED	NATURE MEDICINE
1:1:10	0.0016636	IMMUNITY	IMMUNITY
1:1:11	0.0014987	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:12	0.0010247	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.00092918	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0009103	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:15	0.00080236	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:16	0.00078469	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:17	0.00068885	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:18	0.00053082	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:19	0.00038698	ENDOCR REV	ENDOCRINE REVIEWS
1:1:20	0.0003097	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:21	0.00029222	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:22	0.00028572	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:23	0.00028422	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:24	0.00026994	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:25	0.00021767	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:2	0.0932406	MEDICINE
1:2:1	0.0068049	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0055648	CIRCULATION	CIRCULATION
1:2:3	0.0051354	LANCET	LANCET
1:2:4	0.0044905	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0021646	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0020778	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0015427	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0013177	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:9	0.0011507	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:10	0.0011157	DIABETES CARE	DIABETES CARE
1:2:11	0.0011018	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:12	0.00090588	J AM SOC NEPHROL	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
1:2:13	0.00084948	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:14	0.00078997	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:15	0.00078107	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:16	0.00069853	J BONE MINER RES	JOURNAL OF BONE AND MINERAL RESEARCH
1:2:17	0.00059156	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:18	0.00042654	THORAX	THORAX
1:2:19	0.00033319	MED CARE	MEDICAL CARE
1:2:20	0.00029423	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:21	0.00010358	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2:22	6.5562e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:2:23	4.8385e-05	MILBANK Q	MILBANK QUARTERLY
1:2:24	3.9435e-05	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:3	0.0549359	NEUROSCIENCE
1:3:1	0.0035423	NEURON	NEURON
1:3:2	0.001955	NEUROLOGY	NEUROLOGY
1:3:3	0.0012024	STROKE	STROKE
1:3:4	0.0011803	NEUROIMAGE	NEUROIMAGE
1:3:5	0.00094224	BRAIN	BRAIN
