1	0.650845	SUPERFIELD
1:1	0.355181	MOLECULAR & CELL BIOLOGY
1:1:1	0.025282	NATURE	NATURE
1:1:2	0.024558	SCIENCE	SCIENCE
1:1:3	0.022703	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.021434	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.015496	CELL	CELL
1:1:6	0.0055994	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0049494	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:8	0.0042219	NAT GENET	NATURE GENETICS
1:1:9	0.0038568	NEURON	NEURON
1:1:10	0.0024905	NAT MED	NATURE MEDICINE
1:1:11	0.0023772	IMMUNITY	IMMUNITY
1:1:12	0.0017037	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.0016358	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0011722	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:15	0.0011136	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:16	0.00081105	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:17	0.00062857	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:18	0.00060992	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:19	0.00056353	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:20	0.00052684	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:21	0.00044976	ENDOCR REV	ENDOCRINE REVIEWS
1:1:22	0.00039525	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:23	0.00036564	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:24	0.00026932	NEUROIMAGE	NEUROIMAGE
1:1:25	0.00023451	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:26	0.00023273	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:27	0.0002323	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:28	0.00022715	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:29	0.00021902	HUM BRAIN MAPP	HUMAN BRAIN MAPPING
1:1:30	0.00013052	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:31	0.00012101	MOL PSYCHIATR	MOLECULAR PSYCHIATRY
1:1:32	8.2064e-05	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2	0.0773603	MEDICINE
1:2:1	0.006543	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
