1	0.659019	SUPERFIELD
1:1	0.343312	MOLECULAR & CELL BIOLOGY
1:1:1	0.02298	NATURE	NATURE
1:1:2	0.021386	SCIENCE	SCIENCE
1:1:3	0.021018	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.019463	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.0084873	CELL	CELL
1:1:6	0.0045946	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0041167	NAT GENET	NATURE GENETICS
1:1:8	0.0034211	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:9	0.0034048	NEURON	NEURON
1:1:10	0.0028585	NAT MED	NATURE MEDICINE
1:1:11	0.0020084	IMMUNITY	IMMUNITY
1:1:12	0.001333	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:13	0.001268	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:14	0.0011646	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:15	0.0010644	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:16	0.0010553	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:17	0.00099309	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:18	0.00071929	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:19	0.00059794	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:20	0.00058924	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:21	0.00051454	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:22	0.00038108	ENDOCR REV	ENDOCRINE REVIEWS
1:1:23	0.00036109	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:24	0.00034389	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:25	0.00031879	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:26	0.00026656	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:27	0.00022348	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:28	0.00017842	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:2	0.0834067	MEDICINE
1:2:1	0.0065826	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0053647	LANCET	LANCET
1:2:3	0.005136	CIRCULATION	CIRCULATION
1:2:4	0.0043187	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0022992	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0019083	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0017693	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0014252	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0013535	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:10	0.0011542	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:11	0.0011025	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
