1:3:9	0.00039747	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY
1:3:10	0.00031929	GLOBAL BIOGEOCHEM CY	GLOBAL BIOGEOCHEMICAL CYCLES
1:3:11	0.00031506	CONTRIB MINERAL PETR	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY
1:3:12	0.00031066	SPACE SCI REV	SPACE SCIENCE REVIEWS
1:3:13	0.0002973	CLIM DYNAM	CLIMATE DYNAMICS
1:3:14	0.00026418	DEEP-SEA RES PT I	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS
1:3:15	0.00026406	GEOL SOC AM BULL	GEOLOGICAL SOCIETY OF AMERICA BULLETIN
1:3:16	0.00026383	REV GEOPHYS	REVIEWS OF GEOPHYSICS
1:3:17	0.0002614	J PETROL	JOURNAL OF PETROLOGY
1:3:18	0.00025562	TECTONICS	TECTONICS
1:3:19	0.00020589	REMOTE SENS ENVIRON	REMOTE SENSING OF ENVIRONMENT
1:3:20	0.00019619	CLIMATIC CHANGE	CLIMATIC CHANGE
1:3:21	0.00018712	QUATERNARY SCI REV	QUATERNARY SCIENCE REVIEWS
1:3:22	0.00017421	TELLUS B	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY
1:3:23	0.00013725	INT J CLIMATOL	INTERNATIONAL JOURNAL OF CLIMATOLOGY
1:3:24	0.00011547	ANNU REV EARTH PL SC	ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES
1:3:25	9.2905e-05	AM J SCI	AMERICAN JOURNAL OF SCIENCE
1:3:26	4.7432e-05	EARTH-SCI REV	EARTH-SCIENCE REVIEWS
1:3:27	4.5835e-06	ADV GEOPHYS	ADVANCES IN GEOPHYSICS
1:4	0.0254628	ECOLOGY & EVOLUTION
1:4:1	0.0010471	ECOLOGY	ECOLOGY
1:4:2	0.00074233	EVOLUTION	EVOLUTION
1:4:3	0.00068276	OECOLOGIA	OECOLOGIA
1:4:4	0.00063145	TRENDS ECOL EVOL	TRENDS IN ECOLOGY & EVOLUTION
1:4:5	0.00060182	LIMNOL OCEANOGR	LIMNOLOGY AND OCEANOGRAPHY
1:4:6	0.00057156	AM NAT	AMERICAN NATURALIST
1:4:7	0.00053748	OIKOS	OIKOS
1:4:8	0.00044968	CONSERV BIOL	CONSERVATION BIOLOGY
1:4:9	0.00039717	ECOL APPL	ECOLOGICAL APPLICATIONS
1:4:10	0.00036084	MOL ECOL	MOLECULAR ECOLOGY
1:4:11	0.00029533	J ANIM ECOL	JOURNAL OF ANIMAL ECOLOGY
1:4:12	0.00026325	MOL PHYLOGENET EVOL	MOLECULAR PHYLOGENETICS AND EVOLUTION
1:4:13	0.00024366	J ECOL	JOURNAL OF ECOLOGY
1:4:14	0.00021977	BIOSCIENCE	BIOSCIENCE
1:4:15	0.00020028	FUNCT ECOL	FUNCTIONAL ECOLOGY
1:4:16	0.0001709	J APPL ECOL	JOURNAL OF APPLIED ECOLOGY
1:4:17	0.00016987	ECOL MONOGR	ECOLOGICAL MONOGRAPHS
1:4:18	0.00013087	J EVOLUTION BIOL	JOURNAL OF EVOLUTIONARY BIOLOGY
1:4:19	8.7478e-05	CLADISTICS	CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY
1:4:20	7.72e-05	BIOL REV	BIOLOGICAL REVIEWS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY
1:4:21	4.0304e-05	Q REV BIOL	QUARTERLY REVIEW OF BIOLOGY
1:4:22	2.5005e-05	GLOBAL ECOL BIOGEOGR	GLOBAL ECOLOGY AND BIOGEOGRAPHY
1:4:23	2.1474e-05	ADV MAR BIOL	ADVANCES IN MARINE BIOLOGY
1:5	0.0249981	PSYCHOLOGY
1:5:1	0.0011783	AM J PSYCHIAT	AMERICAN JOURNAL OF PSYCHIATRY
1:5:2	0.00083903	J PERS SOC PSYCHOL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
1:5:3	0.00081831	ARCH GEN PSYCHIAT	ARCHIVES OF GENERAL PSYCHIATRY
1:5:4	0.00058645	BIOL PSYCHIAT	BIOLOGICAL PSYCHIATRY
1:5:5	0.00045775	CHILD DEV	CHILD DEVELOPMENT
1:5:6	0.0004375	J CONSULT CLIN PSYCH	JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
1:5:7	0.00043702	PSYCHOL BULL	PSYCHOLOGICAL BULLETIN
1:5:8	0.00043366	AM PSYCHOL	AMERICAN PSYCHOLOGIST
1:5:9	0.00038183	PSYCHOL REV	PSYCHOLOGICAL REVIEW
1:5:10	0.00026604	PSYCHOL SCI	PSYCHOLOGICAL SCIENCE
1:5:11	0.00024203	J ABNORM PSYCHOL	JOURNAL OF ABNORMAL PSYCHOLOGY
1:5:12	0.00019481	J COGNITIVE NEUROSCI	JOURNAL OF COGNITIVE NEUROSCIENCE
1:5:13	0.00018791	J APPL PSYCHOL	JOURNAL OF APPLIED PSYCHOLOGY
1:5:14	0.00016899	BEHAV BRAIN SCI	BEHAVIORAL AND BRAIN SCIENCES
1:5:15	0.00016583	ORGAN BEHAV HUM DEC	ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES
1:5:16	0.00016366	COGNITION	COGNITION
1:5:17	0.00015118	ANNU REV PSYCHOL	ANNUAL REVIEW OF PSYCHOLOGY
1:5:18	0.00011491	J EXP PSYCHOL GEN	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL
1:5:19	9.3979e-05	COGNITIVE PSYCHOL	COGNITIVE PSYCHOLOGY
1:5:20	7.3344e-05	PSYCHOL METHODS	PSYCHOLOGICAL METHODS
1:5:21	6.4976e-05	PERS PSYCHOL	PERSONNEL PSYCHOLOGY
1:5:22	5.3674e-05	ADV EXP SOC PSYCHOL	ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY
1:5:23	4.2879e-05	PSYCHOL INQ	PSYCHOLOGICAL INQUIRY
1:5:24	4.1993e-05	MONOGR SOC RES CHILD	MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT
1:6	0.0128557	GASTROENTEROLOGY
1:6:1	0.0016742	GASTROENTEROLOGY	GASTROENTEROLOGY
1:6:2	0.0012545	HEPATOLOGY	HEPATOLOGY
1:6:3	0.00067308	GUT	GUT
1:6:4	0.00060912	ANN SURG	ANNALS OF SURGERY
1:6:5	0.0005456	AM J GASTROENTEROL	AMERICAN JOURNAL OF GASTROENTEROLOGY
1:6:6	0.00041063	J HEPATOL	JOURNAL OF HEPATOLOGY
1:6:7	9.1725e-05	SEMIN LIVER DIS	SEMINARS IN LIVER DISEASE
1:7	0.0130839	CROP SCIENCE
1:7:1	0.0015578	PLANT CELL	PLANT CELL
1:7:2	0.001506	PLANT PHYSIOL	PLANT PHYSIOLOGY
1:7:3	0.0012021	PLANT J	PLANT JOURNAL
1:7:4	0.00071814	PLANT MOL BIOL	PLANT MOLECULAR BIOLOGY
1:7:5	0.00040696	TRENDS PLANT SCI	TRENDS IN PLANT SCIENCE
1:7:6	0.00035978	PLANT CELL ENVIRON	PLANT CELL AND ENVIRONMENT
1:7:7	0.00030956	NEW PHYTOL	NEW PHYTOLOGIST
1:7:8	0.00027141	MOL PLANT MICROBE IN	MOLECULAR PLANT-MICROBE INTERACTIONS
1:7:9	9.0147e-05	ANNU REV PHYTOPATHOL	ANNUAL REVIEW OF PHYTOPATHOLOGY
1:7:10	5.8287e-05	CRIT REV PLANT SCI	CRITICAL REVIEWS IN PLANT SCIENCES
1:8	0.011137	ENVIRONMENTAL CHEMISTRY & MICROBIOLOGY
1:8:1	0.001655	APPL ENVIRON MICROB	APPLIED AND ENVIRONMENTAL MICROBIOLOGY
1:8:2	0.0013739	ENVIRON SCI TECHNOL	ENVIRONMENTAL SCIENCE & TECHNOLOGY
1:9	0.0113486	NEUROSCIENCE
1:9:1	0.0017041	NEUROLOGY	NEUROLOGY
1:9:2	0.0010934	ANN NEUROL	ANNALS OF NEUROLOGY
1:9:3	0.0010858	STROKE	STROKE
1:9:4	0.00070919	BRAIN	BRAIN
1:9:5	0.00038055	ARCH NEUROL-CHICAGO	ARCHIVES OF NEUROLOGY
1:10	0.00824793	PATHOLOGY
1:10:1	0.0015027	J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY
1:10:2	0.0012508	CANCER	CANCER
1:10:3	0.00017964	CA-CANCER J CLIN	CA-A CANCER JOURNAL FOR CLINICIANS
1:12	0.0057902	AGRICULTURE
1:12:1	0.00014099	BIOGEOCHEMISTRY	BIOGEOCHEMISTRY
1:12:2	5.4192e-05	ADV AGRON	ADVANCES IN AGRONOMY
1:13	0.00552098	MEDICAL IMAGING
1:13:1	0.0013518	RADIOLOGY	RADIOLOGY
1:13:2	0.00020128	IEEE T MED IMAGING	IEEE TRANSACTIONS ON MEDICAL IMAGING
1:13:3	5.955e-05	NMR BIOMED	NMR IN BIOMEDICINE
1:14	0.00496877	NO SUGGESTION
