1	0.671133	SUPERFIELD
1:1	0.365673	MOLECULAR & CELL BIOLOGY
1:1:1	0.025476	NATURE	NATURE
1:1:2	0.024322	SCIENCE	SCIENCE
1:1:3	0.022879	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.021474	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.017102	CELL	CELL
1:1:6	0.0052171	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:7	0.0051929	GENE DEV	GENES & DEVELOPMENT
1:1:8	0.0043053	NAT GENET	NATURE GENETICS
1:1:9	0.0035103	NEURON	NEURON
1:1:10	0.0019261	NAT MED	NATURE MEDICINE
1:1:11	0.0019243	IMMUNITY	IMMUNITY
1:1:12	0.0017148	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.0017116	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0011701	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:15	0.0010834	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:16	0.00075743	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:17	0.00062092	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:18	0.00053684	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:19	0.0005165	ENDOCR REV	ENDOCRINE REVIEWS
1:1:20	0.00049876	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:21	0.00042858	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:22	0.00040606	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:23	0.00034263	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:24	0.00027903	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:25	0.000236	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:26	0.00022168	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:27	0.00019839	HUM BRAIN MAPP	HUMAN BRAIN MAPPING
1:1:28	0.00015775	NEUROIMAGE	NEUROIMAGE
1:1:29	0.00010725	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:30	9.0063e-05	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:1:31	7.1596e-05	MOL PSYCHIATR	MOLECULAR PSYCHIATRY
1:1:32	5.5617e-05	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:2	0.0708852	MEDICINE
1:2:1	0.0068579	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0052053	LANCET	LANCET
1:2:3	0.004189	CIRCULATION	CIRCULATION
1:2:4	0.0037855	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0021895	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0016726	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:7	0.0016553	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:8	0.0015485	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0012709	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:10	0.00088871	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:11	0.00088814	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:12	0.00082767	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:13	0.00075745	AIDS	AIDS
1:2:14	0.0007335	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:15	0.00069764	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:16	0.00050393	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:17	0.00047561	DIABETES CARE	DIABETES CARE
1:2:18	0.00045078	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:19	0.00034537	THORAX	THORAX
1:2:20	0.00030473	MED CARE	MEDICAL CARE
1:2:21	0.00018512	CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS
1:2:22	0.00017217	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:23	0.00013243	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:2:24	8.7529e-05	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES
1:2:25	8.1661e-05	MILBANK Q	MILBANK QUARTERLY
1:2:26	7.2816e-05	J HEALTH ECON	JOURNAL OF HEALTH ECONOMICS
1:2:27	7.1636e-05	MEDICINE	MEDICINE
1:2:28	6.7854e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:3	0.035987	GEOSCIENCES
1:3:1	0.0030068	GEOPHYS RES LETT	GEOPHYSICAL RESEARCH LETTERS
1:3:2	0.0014724	GEOCHIM COSMOCHIM AC	GEOCHIMICA ET COSMOCHIMICA ACTA
1:3:3	0.0011605	EARTH PLANET SC LETT	EARTH AND PLANETARY SCIENCE LETTERS
1:3:4	0.0010452	GEOLOGY	GEOLOGY
1:3:5	0.00099973	J CLIMATE	JOURNAL OF CLIMATE
1:3:6	0.00051855	MON WEATHER REV	MONTHLY WEATHER REVIEW
1:3:7	0.00051273	B AM METEOROL SOC	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1:3:8	0.0003876	CONTRIB MINERAL PETR	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY
1:3:9	0.00038549	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY
1:3:10	0.00037636	GLOBAL BIOGEOCHEM CY	GLOBAL BIOGEOCHEMICAL CYCLES
1:3:11	0.00033171	DEEP-SEA RES PT I	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS
1:3:12	0.00031601	GEOL SOC AM BULL	GEOLOGICAL SOCIETY OF AMERICA BULLETIN
1:3:13	0.00031169	CLIM DYNAM	CLIMATE DYNAMICS
1:3:14	0.00028673	REV GEOPHYS	REVIEWS OF GEOPHYSICS
1:3:15	0.00026505	TECTONICS	TECTONICS
1:3:16	0.00020748	J PETROL	JOURNAL OF PETROLOGY
1:3:17	0.0002012	REMOTE SENS ENVIRON	REMOTE SENSING OF ENVIRONMENT
