1	0.653858	SUPERFIELD
1:1	0.347479	MOLECULAR & CELL BIOLOGY
1:1:1	0.023277	NATURE	NATURE
1:1:2	0.021892	SCIENCE	SCIENCE
1:1:3	0.020724	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.01988	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.0097287	CELL	CELL
1:1:6	0.0050513	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0043221	NAT GENET	NATURE GENETICS
1:1:8	0.0038901	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:9	0.0032365	NEURON	NEURON
1:1:10	0.0028101	NAT MED	NATURE MEDICINE
1:1:11	0.0022757	IMMUNITY	IMMUNITY
1:1:12	0.0014151	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.001287	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0012053	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:15	0.0010815	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:16	0.0010697	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:17	0.00093394	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:18	0.00067209	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:19	0.00061044	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:20	0.00055456	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:21	0.00049049	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:22	0.00041621	ENDOCR REV	ENDOCRINE REVIEWS
1:1:23	0.00039272	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:24	0.00031638	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:25	0.00027877	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:26	0.00023554	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:27	0.00022148	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:28	0.00016102	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:29	9.4065e-05	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2	0.080793	MEDICINE
1:2:1	0.0063452	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0053936	LANCET	LANCET
1:2:3	0.0050912	CIRCULATION	CIRCULATION
1:2:4	0.0039978	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0023527	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0017849	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0017425	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0015267	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0013648	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:10	0.0011951	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:11	0.0010866	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:12	0.0010738	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:13	0.0010682	AIDS	AIDS
1:2:14	0.00088212	DIABETES CARE	DIABETES CARE
1:2:15	0.00083877	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:16	0.00080834	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:17	0.00073294	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:18	0.00048415	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:19	0.00043209	THORAX	THORAX
1:2:20	0.00036856	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES
1:2:21	0.00030865	MED CARE	MEDICAL CARE
1:2:22	0.00026611	CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS
1:2:23	0.00021775	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:24	0.0001048	J HEALTH ECON	JOURNAL OF HEALTH ECONOMICS
1:2:25	8.2728e-05	MEDICINE	MEDICINE
1:2:26	7.0907e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:2:27	6.4988e-05	J HEALTH SOC BEHAV	JOURNAL OF HEALTH AND SOCIAL BEHAVIOR
1:2:28	5.2979e-05	MILBANK Q	MILBANK QUARTERLY
1:2:29	4.1338e-05	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:3	0.0280232	ECOLOGY & EVOLUTION
1:3:1	0.0010194	ECOLOGY	ECOLOGY
1:3:2	0.00071176	OECOLOGIA	OECOLOGIA
1:3:3	0.00070077	EVOLUTION	EVOLUTION
1:3:4	0.00064571	TRENDS ECOL EVOL	TRENDS IN ECOLOGY & EVOLUTION
1:3:5	0.00058563	OIKOS	OIKOS
1:3:6	0.00057623	LIMNOL OCEANOGR	LIMNOLOGY AND OCEANOGRAPHY
1:3:7	0.00054958	AM NAT	AMERICAN NATURALIST
1:3:8	0.00053316	MOL ECOL	MOLECULAR ECOLOGY
1:3:9	0.00045276	ECOL APPL	ECOLOGICAL APPLICATIONS
1:3:10	0.00042827	CONSERV BIOL	CONSERVATION BIOLOGY
1:3:11	0.00029285	J ANIM ECOL	JOURNAL OF ANIMAL ECOLOGY
1:3:12	0.00025352	MOL PHYLOGENET EVOL	MOLECULAR PHYLOGENETICS AND EVOLUTION
1:3:13	0.0002465	BIOSCIENCE	BIOSCIENCE
1:3:14	0.00021145	J ECOL	JOURNAL OF ECOLOGY
1:3:15	0.00018601	FUNCT ECOL	FUNCTIONAL ECOLOGY
1:3:16	0.00018412	J EVOLUTION BIOL	JOURNAL OF EVOLUTIONARY BIOLOGY
1:3:17	0.00016722	J APPL ECOL	JOURNAL OF APPLIED ECOLOGY
1:3:18	0.00016051	ECOL MONOGR	ECOLOGICAL MONOGRAPHS
1:3:19	0.00014749	ANNU REV ENTOMOL	ANNUAL REVIEW OF ENTOMOLOGY
1:3:20	9.5608e-05	BIOL REV	BIOLOGICAL REVIEWS
1:3:21	6.683e-05	CLADISTICS	CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY
1:3:22	3.7601e-05	GLOBAL ECOL BIOGEOGR	GLOBAL ECOLOGY AND BIOGEOGRAPHY
1:3:23	3.4651e-05	Q REV BIOL	QUARTERLY REVIEW OF BIOLOGY
1:3:24	2.6315e-05	ADV MAR BIOL	ADVANCES IN MARINE BIOLOGY
1:4	0.0198777	UROLOGY
1:4:1	0.001829	J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY
1:4:2	0.0012639	J NATL CANCER I	JOURNAL OF THE NATIONAL CANCER INSTITUTE
1:4:3	0.0012621	CANCER	CANCER
