1	0.668588	SUPERFIELD
1:1	0.360323	MOLECULAR & CELL BIOLOGY
1:1:1	0.025691	NATURE	NATURE
1:1:2	0.024303	SCIENCE	SCIENCE
1:1:3	0.022737	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.022146	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.018261	CELL	CELL
1:1:6	0.0053496	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0049696	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:8	0.0040329	NAT GENET	NATURE GENETICS
1:1:9	0.0036868	NEURON	NEURON
1:1:10	0.0017838	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:11	0.0014453	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:12	0.0013807	IMMUNITY	IMMUNITY
1:1:13	0.0013764	NAT MED	NATURE MEDICINE
1:1:14	0.0013548	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:15	0.0010565	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:16	0.00072751	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:17	0.00053742	ENDOCR REV	ENDOCRINE REVIEWS
1:1:18	0.0005351	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:19	0.00044672	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:20	0.00044591	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:21	0.00044588	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:22	0.00042518	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:23	0.00030579	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:24	0.00027648	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:25	0.00023533	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:26	0.00016836	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:27	0.00010479	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
