1	0.657025	SUPERFIELD
1:1	0.348176	MOLECULAR & CELL BIOLOGY
1:1:1	0.023744	NATURE	NATURE
1:1:2	0.022578	SCIENCE	SCIENCE
1:1:3	0.02154	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.02075	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.011291	CELL	CELL
1:1:6	0.00525	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0048356	NAT GENET	NATURE GENETICS
1:1:8	0.0043122	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:9	0.0031739	NEURON	NEURON
1:1:10	0.0029978	NAT MED	NATURE MEDICINE
1:1:11	0.0022592	IMMUNITY	IMMUNITY
1:1:12	0.0014312	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:13	0.0013921	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:14	0.0011432	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:15	0.001094	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:16	0.001085	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:17	0.00085937	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:18	0.00063682	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:19	0.00059348	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:20	0.0005242	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:21	0.00049176	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:22	0.00042127	NEUROIMAGE	NEUROIMAGE
1:1:23	0.0003812	ENDOCR REV	ENDOCRINE REVIEWS
1:1:24	0.00034258	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:25	0.00033229	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:26	0.00025078	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:27	0.00021511	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:28	0.00021257	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:29	0.00017048	HUM BRAIN MAPP	HUMAN BRAIN MAPPING
1:1:30	0.00015699	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:31	9.1392e-05	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2	0.0832746	MEDICINE
1:2:1	0.006099	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0052281	LANCET	LANCET
1:2:3	0.0048859	CIRCULATION	CIRCULATION
1:2:4	0.0037474	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0023434	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0017946	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0015806	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0015284	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0013687	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:10	0.0011524	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:11	0.0010445	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:12	0.0010258	AIDS	AIDS
1:2:13	0.0009477	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:14	0.0007973	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:15	0.000747	DIABETES CARE	DIABETES CARE
1:2:16	0.00073504	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:17	0.0007282	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:18	0.00043836	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:19	0.00042666	THORAX	THORAX
1:2:20	0.00028495	MED CARE	MEDICAL CARE
1:2:21	0.00027894	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES
1:2:22	0.00022562	CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS
1:2:23	0.00018978	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:24	8.5072e-05	J HEALTH ECON	JOURNAL OF HEALTH ECONOMICS
1:2:25	8.078e-05	MEDICINE	MEDICINE
1:2:26	6.9969e-05	MILBANK Q	MILBANK QUARTERLY
1:2:27	5.504e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:2:28	4.637e-05	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:3	0.0334949	GEOSCIENCES
1:3:1	0.0027539	GEOPHYS RES LETT	GEOPHYSICAL RESEARCH LETTERS
1:3:2	0.00098265	GEOCHIM COSMOCHIM AC	GEOCHIMICA ET COSMOCHIMICA ACTA
1:3:3	0.00096239	EARTH PLANET SC LETT	EARTH AND PLANETARY SCIENCE LETTERS
1:3:4	0.00091395	J CLIMATE	JOURNAL OF CLIMATE
1:3:5	0.00091054	GEOLOGY	GEOLOGY
1:3:6	0.00061384	B AM METEOROL SOC	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1:3:7	0.00054692	ICARUS	ICARUS
1:3:8	0.00044952	MON WEATHER REV	MONTHLY WEATHER REVIEW
1:3:9	0.00032479	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY
1:3:10	0.00030921	GEOL SOC AM BULL	GEOLOGICAL SOCIETY OF AMERICA BULLETIN
1:3:11	0.00027901	CONTRIB MINERAL PETR	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY
1:3:12	0.00027819	GLOBAL BIOGEOCHEM CY	GLOBAL BIOGEOCHEMICAL CYCLES
1:3:13	0.00027471	CLIM DYNAM	CLIMATE DYNAMICS
1:3:14	0.00025083	DEEP-SEA RES PT I	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS
1:3:15	0.00024091	QUATERNARY SCI REV	QUATERNARY SCIENCE REVIEWS
1:3:16	0.00023038	SPACE SCI REV	SPACE SCIENCE REVIEWS
1:3:17	0.00022344	REMOTE SENS ENVIRON	REMOTE SENSING OF ENVIRONMENT
1:3:18	0.00021548	J PETROL	JOURNAL OF PETROLOGY
1:3:19	0.00020593	TECTONICS	TECTONICS
1:3:20	0.00019574	REV GEOPHYS	REVIEWS OF GEOPHYSICS
1:3:21	0.00018821	CLIMATIC CHANGE	CLIMATIC CHANGE
1:3:22	0.00018811	TELLUS B	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY
1:3:23	0.00015799	INT J CLIMATOL	INTERNATIONAL JOURNAL OF CLIMATOLOGY
1:3:24	0.00011562	AM J SCI	AMERICAN JOURNAL OF SCIENCE
1:3:25	0.00011437	ANNU REV EARTH PL SC	ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES
1:3:26	6.1808e-05	EARTH-SCI REV	EARTH-SCIENCE REVIEWS
1:3:27	8.9833e-06	ADV GEOPHYS	ADVANCES IN GEOPHYSICS
1:4	0.0280786	ECOLOGY & EVOLUTION
1:4:1	0.0010821	ECOLOGY	ECOLOGY
1:4:2	0.00079096	OECOLOGIA	OECOLOGIA
1:4:3	0.00070093	EVOLUTION	EVOLUTION
1:4:4	0.00067871	TRENDS ECOL EVOL	TRENDS IN ECOLOGY & EVOLUTION
1:4:5	0.00065389	LIMNOL OCEANOGR	LIMNOLOGY AND OCEANOGRAPHY
1:4:6	0.00062551	OIKOS	OIKOS
1:4:7	0.00058116	AM NAT	AMERICAN NATURALIST
1:4:8	0.00045866	ECOL APPL	ECOLOGICAL APPLICATIONS
1:4:9	0.00045309	MOL ECOL	MOLECULAR ECOLOGY
1:4:10	0.00044988	CONSERV BIOL	CONSERVATION BIOLOGY
1:4:11	0.00032563	J ANIM ECOL	JOURNAL OF ANIMAL ECOLOGY
1:4:12	0.00028497	MOL PHYLOGENET EVOL	MOLECULAR PHYLOGENETICS AND EVOLUTION
1:4:13	0.00024384	BIOSCIENCE	BIOSCIENCE
1:4:14	0.0002421	J ECOL	JOURNAL OF ECOLOGY
1:4:15	0.00020873	FUNCT ECOL	FUNCTIONAL ECOLOGY
1:4:16	0.00019612	J APPL ECOL	JOURNAL OF APPLIED ECOLOGY
1:4:17	0.00018495	ECOL MONOGR	ECOLOGICAL MONOGRAPHS
1:4:18	0.00014903	J EVOLUTION BIOL	JOURNAL OF EVOLUTIONARY BIOLOGY
1:4:19	0.00013726	ANNU REV ENTOMOL	ANNUAL REVIEW OF ENTOMOLOGY
1:4:20	9.9503e-05	CLADISTICS	CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY
1:4:21	7.7093e-05	BIOL REV	BIOLOGICAL REVIEWS
1:4:22	4.3266e-05	Q REV BIOL	QUARTERLY REVIEW OF BIOLOGY
1:4:23	4.1698e-05	GLOBAL ECOL BIOGEOGR	GLOBAL ECOLOGY AND BIOGEOGRAPHY
1:4:24	2.3858e-05	ADV MAR BIOL	ADVANCES IN MARINE BIOLOGY
1:5	0.0191608	PSYCHIATRY
1:5:1	0.0010584	AM J PSYCHIAT	AMERICAN JOURNAL OF PSYCHIATRY
1:5:2	0.00080733	J PERS SOC PSYCHOL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
1:5:3	0.0008016	ARCH GEN PSYCHIAT	ARCHIVES OF GENERAL PSYCHIATRY
1:5:4	0.00070615	BIOL PSYCHIAT	BIOLOGICAL PSYCHIATRY
1:5:5	0.0003965	AM PSYCHOL	AMERICAN PSYCHOLOGIST
1:5:6	0.00039248	J CONSULT CLIN PSYCH	JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
1:5:7	0.0003778	PSYCHOL BULL	PSYCHOLOGICAL BULLETIN
1:5:8	0.0003538	CHILD DEV	CHILD DEVELOPMENT
1:5:9	0.00023895	J ABNORM PSYCHOL	JOURNAL OF ABNORMAL PSYCHOLOGY
1:5:10	0.000183	MOL PSYCHIATR	MOLECULAR PSYCHIATRY
1:5:11	0.00015159	ANNU REV PSYCHOL	ANNUAL REVIEW OF PSYCHOLOGY
1:5:12	8.1918e-05	PSYCHOL METHODS	PSYCHOLOGICAL METHODS
1:5:13	4.1504e-05	ADV EXP SOC PSYCHOL	ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY
1:5:14	3.4945e-05	PSYCHOL INQ	PSYCHOLOGICAL INQUIRY
1:5:15	2.8123e-05	MONOGR SOC RES CHILD	MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT
1:6	0.0188179	UROLOGY
1:6:1	0.0016178	J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY
1:6:2	0.0012741	CANCER	CANCER
1:6:3	0.0012546	J NATL CANCER I	JOURNAL OF THE NATIONAL CANCER INSTITUTE
1:6:4	0.00096559	CLIN CANCER RES	CLINICAL CANCER RESEARCH
1:6:5	0.00034902	CANCER EPIDEM BIOMAR	CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION
