1	0.656011	SUPERFIELD
1:1	0.330464	MOLECULAR & CELL BIOLOGY
1:1:1	0.022247	NATURE	NATURE
1:1:2	0.020724	SCIENCE	SCIENCE
1:1:3	0.019949	J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY
1:1:4	0.018498	P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AME
1:1:5	0.0073891	CELL	CELL
1:1:6	0.0040344	GENE DEV	GENES & DEVELOPMENT
1:1:7	0.0039932	NAT GENET	NATURE GENETICS
1:1:8	0.0035282	NEURON	NEURON
1:1:9	0.0031101	J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE
1:1:10	0.0027467	NAT MED	NATURE MEDICINE
1:1:11	0.0017495	IMMUNITY	IMMUNITY
1:1:12	0.0014869	NAT BIOTECHNOL	NATURE BIOTECHNOLOGY
1:1:13	0.0011086	CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY
1:1:14	0.0010523	TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES
1:1:15	0.00093599	ANNU REV IMMUNOL	ANNUAL REVIEW OF IMMUNOLOGY
1:1:16	0.00085897	TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY
1:1:17	0.0008335	ANNU REV BIOCHEM	ANNUAL REVIEW OF BIOCHEMISTRY
1:1:18	0.00071469	PHYSIOL REV	PHYSIOLOGICAL REVIEWS
1:1:19	0.00057743	ANNU REV NEUROSCI	ANNUAL REVIEW OF NEUROSCIENCE
1:1:20	0.00053744	ANNU REV CELL DEV BI	ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY
1:1:21	0.00039115	ENDOCR REV	ENDOCRINE REVIEWS
1:1:22	0.0003801	MICROBIOL MOL BIOL R	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS
1:1:23	0.0003205	PHARMACOL REV	PHARMACOLOGICAL REVIEWS
1:1:24	0.00031787	ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY
1:1:25	0.00030655	ANNU REV GENET	ANNUAL REVIEW OF GENETICS
1:1:26	0.0003042	ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY
1:1:27	0.00020111	ANNU REV BIOPH BIOM	ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE
1:1:28	0.00018186	NEUROSCI BIOBEHAV R	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1:1:29	0.00010723	ANNU REV NUTR	ANNUAL REVIEW OF NUTRITION
1:2	0.0882066	MEDICINE
1:2:1	0.0069058	NEW ENGL J MED	NEW ENGLAND JOURNAL OF MEDICINE
1:2:2	0.0055557	CIRCULATION	CIRCULATION
1:2:3	0.0054342	LANCET	LANCET
1:2:4	0.0044731	JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
1:2:5	0.0021601	BRIT MED J	BRITISH MEDICAL JOURNAL
1:2:6	0.0020115	J AM COLL CARDIOL	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY
1:2:7	0.0016138	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE
1:2:8	0.0014191	J INFECT DIS	JOURNAL OF INFECTIOUS DISEASES
1:2:9	0.0013403	ANN INTERN MED	ANNALS OF INTERNAL MEDICINE
1:2:10	0.0012181	ARTERIOSCL THROM VAS	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY
1:2:11	0.0011965	CLIN INFECT DIS	CLINICAL INFECTIOUS DISEASES
1:2:12	0.0010982	ARCH INTERN MED	ARCHIVES OF INTERNAL MEDICINE
1:2:13	0.00099494	AIDS	AIDS
1:2:14	0.0009683	DIABETES CARE	DIABETES CARE
1:2:15	0.00081433	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION
1:2:16	0.00081042	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY
1:2:17	0.00076492	J ALLERGY CLIN IMMUN	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
1:2:18	0.00059715	EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES
1:2:19	0.000486	EUR HEART J	EUROPEAN HEART JOURNAL
1:2:20	0.0004243	THORAX	THORAX
1:2:21	0.00034713	MED CARE	MEDICAL CARE
1:2:22	0.0002676	CLIN MICROBIOL REV	CLINICAL MICROBIOLOGY REVIEWS
1:2:23	0.00025968	CAN MED ASSOC J	CANADIAN MEDICAL ASSOCIATION JOURNAL
1:2:24	7.3375e-05	MEDICINE	MEDICINE
1:2:25	6.5887e-05	ANNU REV PUBL HEALTH	ANNUAL REVIEW OF PUBLIC HEALTH
1:2:26	5.1422e-05	EPIDEMIOL REV	EPIDEMIOLOGIC REVIEWS
1:2:27	4.4684e-05	MILBANK Q	MILBANK QUARTERLY
1:3	0.0329436	GEOSCIENCES
1:3:1	0.0026834	GEOPHYS RES LETT	GEOPHYSICAL RESEARCH LETTERS
1:3:2	0.0011481	EARTH PLANET SC LETT	EARTH AND PLANETARY SCIENCE LETTERS
1:3:3	0.00093155	GEOCHIM COSMOCHIM AC	GEOCHIMICA ET COSMOCHIMICA ACTA
1:3:4	0.00090649	GEOLOGY	GEOLOGY
1:3:5	0.0008943	J CLIMATE	JOURNAL OF CLIMATE
1:3:6	0.000509	ICARUS	ICARUS
1:3:7	0.00038897	QUATERNARY SCI REV	QUATERNARY SCIENCE REVIEWS
1:3:8	0.00037264	MON WEATHER REV	MONTHLY WEATHER REVIEW
1:3:9	0.0003631	B AM METEOROL SOC	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1:3:10	0.00035328	GLOBAL BIOGEOCHEM CY	GLOBAL BIOGEOCHEMICAL CYCLES
1:3:11	0.00031177	CLIM DYNAM	CLIMATE DYNAMICS
1:3:12	0.00030083	REMOTE SENS ENVIRON	REMOTE SENSING OF ENVIRONMENT
1:3:13	0.00028592	GEOL SOC AM BULL	GEOLOGICAL SOCIETY OF AMERICA BULLETIN
1:3:14	0.00025647	PALEOCEANOGRAPHY	PALEOCEANOGRAPHY
1:3:15	0.00025069	CONTRIB MINERAL PETR	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY
1:3:16	0.00023584	J PETROL	JOURNAL OF PETROLOGY
1:3:17	0.00022368	SPACE SCI REV	SPACE SCIENCE REVIEWS
1:3:18	0.00019392	DEEP-SEA RES PT I	DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS
1:3:19	0.00018238	CLIMATIC CHANGE	CLIMATIC CHANGE
1:3:20	0.00017954	REV GEOPHYS	REVIEWS OF GEOPHYSICS
1:3:21	0.00017661	INT J CLIMATOL	INTERNATIONAL JOURNAL OF CLIMATOLOGY
1:3:22	0.00016111	TECTONICS	TECTONICS
1:3:23	0.00015205	TELLUS B	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY
